brand,model,transmission,make_year,reg_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_number,title
KIA,SELTOS HTK PLUS 1.5 IMT,Manual,2021,01-09-2021,Petrol,1497,38307,1st owner,1058000,20138,TRUE,No,DL9C,2021 KIA SELTOS HTK PLUS 1.5 IMT
Nissan,MAGNITE XV TURBO CVT,Automatic,2022,01-04-2022,Petrol,999,18193,2nd owner,836000,15911,TRUE,No,UP16,2022 Nissan MAGNITE XV TURBO CVT
Hyundai,VENUE SX 1.0 (O) TURBO,Manual,2019,01-03-2020,Petrol,998,57649,2nd owner,729000,14252,TRUE,No,DL9C,2019 Hyundai VENUE SX 1.0 (O) TURBO
Honda,Amaze 1.2L I-VTEC VX CVT,Automatic,2023,01-04-2023,Petrol,1199,8376,1st owner,816000,15529,TRUE,No,HR26,2023 Honda Amaze 1.2L I-VTEC VX CVT
Renault,TRIBER RXT,Manual,2022,01-07-2022,Petrol,999,13196,1st owner,690000,13480,TRUE,No,DL12,2022 Renault TRIBER RXT
Maruti,Ertiga VXI,Manual,2012,01-12-2012,Petrol,1373,54751,1st owner,407000,13522,TRUE,No,DL5C,2012 Maruti Ertiga VXI
Datsun,Go Plus A(O),Manual,2019,01-10-2019,Petrol,1198,27695,1st owner,400000,7826,TRUE,No,UP14,2019 Datsun Go Plus A(O)
Honda,City 1.5L I-VTEC SV,Manual,2017,01-12-2017,Petrol,1497,102835,1st owner,608000,13525,TRUE,Yes,DL14,2017 Honda City 1.5L I-VTEC SV
Honda,Amaze 1.2L I-VTEC S,Manual,2019,01-06-2019,Petrol,1199,37864,1st owner,543000,10616,TRUE,No,HR30,2019 Honda Amaze 1.2L I-VTEC S
Honda,City 1.5L I-VTEC ZX CVT,Automatic,2017,01-05-2017,Petrol,1497,42012,1st owner,814000,15494,TRUE,Yes,DL10,2017 Honda City 1.5L I-VTEC ZX CVT
Hyundai,i20 SPORTZ 1.2,Manual,2013,01-09-2013,Petrol,1197,31479,1st owner,316000,8309,TRUE,No,DL8C,2013 Hyundai i20 SPORTZ 1.2
KIA,SELTOS HTX ANNIVERSARY EDITION 1.5 PETROL,Manual,2021,01-07-2021,Petrol,1497,26456,1st owner,1221000,23241,TRUE,No,UP14,2021 KIA SELTOS HTX ANNIVERSARY EDITION 1.5 PETROL
Toyota,URBAN CRUISER PREMIUM GRADE MT,Manual,2021,01-09-2021,Petrol,1462,42381,1st owner,862000,16407,TRUE,Yes,UP14,2021 Toyota URBAN CRUISER PREMIUM GRADE MT
Renault,Kwid RXT 1.0 AMT (O),Automatic,2019,01-01-2020,Petrol,999,13568,1st owner,386000,7540,TRUE,Yes,DL10,2019 Renault Kwid RXT 1.0 AMT (O)
Maruti,Ciaz ZETA AT 1.5  SHVS PETROL,Automatic,2022,01-11-2022,Petrol,1462,21566,1st owner,974000,18539,TRUE,No,HR26,2022 Maruti Ciaz ZETA AT 1.5  SHVS PETROL
KIA,SELTOS HTX 1.5 PETROL,Manual,2019,01-10-2019,Petrol,1497,85336,1st owner,1032000,19646,TRUE,Yes,DL14,2019 KIA SELTOS HTX 1.5 PETROL
Maruti,Swift Dzire LXI (O),Manual,2015,01-06-2015,Petrol,1197,35817,1st owner,377000,7379,TRUE,Yes,DL6C,2015 Maruti Swift Dzire LXI (O)
Hyundai,Creta SX (O) 1.6 DIESEL,Manual,2019,01-06-2019,Diesel,1582,72781,1st owner,1114000,24226,TRUE,No,HR26,2019 Hyundai Creta SX (O) 1.6 DIESEL
Jeep,Compass SPORT PLUS 1.4 PETROL,Manual,2020,01-10-2021,Petrol,1368,76041,1st owner,1065000,20269,TRUE,Yes,HR10,2020 Jeep Compass SPORT PLUS 1.4 PETROL
Maruti,Ciaz VXI,Manual,2016,01-08-2016,Petrol,1373,60440,1st owner,478000,9345,TRUE,No,DL9C,2016 Maruti Ciaz VXI
Mahindra,XUV500 W5,Manual,2019,01-02-2019,Diesel,2179,45984,1st owner,1011000,21977,TRUE,No,DL8C,2019 Mahindra XUV500 W5
Jeep,Compass LIMITED (O) 2.0 DIESEL 4X4,Manual,2018,01-03-2018,Diesel,1956,53738,2nd owner,968000,25026,TRUE,Yes,HR81,2018 Jeep Compass LIMITED (O) 2.0 DIESEL 4X4
Maruti,Alto LXI,Manual,2021,01-04-2021,Petrol,796,8945,1st owner,364000,7116,TRUE,No,HR29,2021 Maruti Alto LXI
KIA,SONET HTK PLUS 1.5,Manual,2020,01-10-2020,Diesel,1493,68421,1st owner,811000,15439,TRUE,Yes,UP14,2020 KIA SONET HTK PLUS 1.5
Tata,NEXON XZ PETROL,Manual,2021,01-06-2021,Petrol,1199,8119,1st owner,858000,16331,TRUE,Yes,DL3C,2021 Tata NEXON XZ PETROL
MG,HECTOR SMART 1.5 DCT PETROL,Automatic,2019,01-12-2019,Petrol,1451,8797,1st owner,1338000,25471,TRUE,No,DL14,2019 MG HECTOR SMART 1.5 DCT PETROL
Maruti,Baleno DELTA PETROL 1.2,Manual,2017,01-05-2017,Petrol,1197,32348,1st owner,476000,9306,TRUE,No,DL10,2017 Maruti Baleno DELTA PETROL 1.2
Honda,City 1.5L I-VTEC V MT,Manual,2017,01-02-2017,Petrol,1497,115810,1st owner,583000,12969,TRUE,No,DL3C,2017 Honda City 1.5L I-VTEC V MT
Mahindra,XUV300 W6 1.2 PETROL,Manual,2020,01-02-2020,Petrol,1197,40924,1st owner,681000,13314,TRUE,No,DL7C,2020 Mahindra XUV300 W6 1.2 PETROL
Maruti,Baleno DELTA PETROL 1.2,Manual,2016,01-09-2016,Petrol,1197,33099,1st owner,473000,9247,TRUE,No,HR26,2016 Maruti Baleno DELTA PETROL 1.2
MG,HECTOR SHARP 1.5 DCT PETROL,Automatic,2020,01-01-2020,Petrol,1451,66590,1st owner,1269000,24154,TRUE,No,DL3C,2020 MG HECTOR SHARP 1.5 DCT PETROL
Hyundai,Creta S 1.5 PETROL,Manual,2020,01-05-2020,Petrol,1497,80554,2nd owner,968000,18425,TRUE,Yes,UP66,2020 Hyundai Creta S 1.5 PETROL
KIA,SELTOS GTX PLUS AT 1.5 DIESEL,Automatic,2019,01-12-2019,Diesel,1493,51955,1st owner,1266000,27519,TRUE,No,HR26,2019 KIA SELTOS GTX PLUS AT 1.5 DIESEL
Hyundai,Creta SX PLUS AT 1.6 PETROL,Automatic,2016,01-12-2016,Petrol,1591,61059,3rd owner,715000,13987,TRUE,Yes,DL5C,2016 Hyundai Creta SX PLUS AT 1.6 PETROL
Tata,NEXON XZ PLUS PETROL SUNROOF,Manual,2023,01-05-2023,Petrol,1199,24415,1st owner,969000,18444,TRUE,Yes,DL3C,2023 Tata NEXON XZ PLUS PETROL SUNROOF
Maruti,Dzire VXI,Manual,2018,01-01-2018,Petrol,1197,65268,1st owner,509000,9959,TRUE,No,DL5C,2018 Maruti Dzire VXI
Maruti,Swift VXI,Manual,2012,01-08-2012,Petrol,1197,34096,1st owner,256000,8503,TRUE,No,DL13,2012 Maruti Swift VXI
Maruti,Swift VXI,Manual,2022,01-05-2022,Petrol,1197,35230,1st owner,626000,12238,TRUE,No,HR30,2022 Maruti Swift VXI
Toyota,Glanza G CVT,Automatic,2019,01-01-2020,Petrol,1197,55311,2nd owner,622000,12160,TRUE,No,HR26,2019 Toyota Glanza G CVT
Hyundai,Creta SX 1.5 PETROL,Manual,2020,01-06-2020,Petrol,1497,61464,1st owner,1172000,22308,TRUE,No,DL9C,2020 Hyundai Creta SX 1.5 PETROL
KIA,SELTOS HTX 1.5 PETROL,Manual,2019,01-12-2019,Petrol,1497,32251,1st owner,1127000,21451,TRUE,Yes,UP14,2019 KIA SELTOS HTX 1.5 PETROL
Maruti,Baleno ALPHA 1.2 AGS,Automatic,2022,01-11-2022,Petrol,1197,27052,1st owner,817000,15551,TRUE,No,UP37,2022 Maruti Baleno ALPHA 1.2 AGS
KIA,SONET HTK PLUS 1.0 IMT,Manual,2022,01-12-2022,Petrol,998,22078,1st owner,958000,18235,TRUE,Yes,HR98,2022 KIA SONET HTK PLUS 1.0 IMT
Jeep,Compass SPORT 2.0 DIESEL,Manual,2019,01-01-2020,Diesel,1956,93467,1st owner,930000,20227,TRUE,No,HR50,2019 Jeep Compass SPORT 2.0 DIESEL
Maruti,Swift ZXI PLUS,Manual,2018,01-03-2018,Petrol,1197,21574,1st owner,630000,12319,TRUE,No,UP14,2018 Maruti Swift ZXI PLUS
Maruti,Alto 800 LXI,Manual,2016,01-01-2017,Petrol,796,97698,2nd owner,220000,4298,TRUE,Yes,HR72,2016 Maruti Alto 800 LXI
Mahindra,Thar LX PETROL HT 4WD AT,Automatic,2021,01-09-2021,Petrol,1997,31332,1st owner,1318000,25087,TRUE,No,DL1C,2021 Mahindra Thar LX PETROL HT 4WD AT
Mahindra,Thar LX PETROL HT 4WD AT,Automatic,2021,01-11-2021,Petrol,1997,25411,1st owner,1365000,25982,TRUE,Yes,DL8C,2021 Mahindra Thar LX PETROL HT 4WD AT
Hyundai,Creta SX AT 1.6 PETROL,Automatic,2019,01-12-2019,Petrol,1591,69534,1st owner,1045000,19891,TRUE,Yes,HR26,2019 Hyundai Creta SX AT 1.6 PETROL
Hyundai,Elite i20 SPORTZ 1.2 (O),Manual,2014,01-12-2014,Petrol,1197,87564,1st owner,443000,9854,TRUE,No,DL3C,2014 Hyundai Elite i20 SPORTZ 1.2 (O)
Honda,City 1.5L I-VTEC VX,Manual,2020,01-03-2020,Petrol,,35169,1st owner,923000,17568,TRUE,No,DL10,2020 Honda City 1.5L I-VTEC VX
Hyundai,GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT CNG,Manual,2021,01-07-2021,CNG,1197,19115,1st owner,610000,11933,TRUE,No,DL5C,2021 Hyundai GRAND I10 NIOS MAGNA 1.2 KAPPA VTVT CNG
Maruti,XL6 ALPHA PLUS  AT DUAL TONE,Automatic,2022,01-08-2022,Petrol,,6753,1st owner,1294000,24636,TRUE,No,HR26,2022 Maruti XL6 ALPHA PLUS  AT DUAL TONE
Maruti,Baleno ZETA PETROL 1.2,Manual,2019,01-06-2019,Petrol,1197,59602,2nd owner,563000,11005,TRUE,Yes,HR26,2019 Maruti Baleno ZETA PETROL 1.2
KIA,SELTOS HTX 1.5 PETROL,Manual,2019,01-11-2019,Petrol,1497,64349,1st owner,1053000,20052,TRUE,Yes,DL14,2019 KIA SELTOS HTX 1.5 PETROL
Maruti,Ciaz ZETA 1.5 SHVS MT PETROL,Manual,2022,01-10-2022,Petrol,1462,35483,1st owner,870000,16560,TRUE,No,HR26,2022 Maruti Ciaz ZETA 1.5 SHVS MT PETROL
Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Manual,2018,01-11-2018,CNG,1197,87009,2nd owner,464000,9071,TRUE,No,HR06,2018 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT
Datsun,Redi Go T,Manual,2021,01-11-2021,Petrol,799,36150,1st owner,314000,6136,TRUE,No,DL14,2021 Datsun Redi Go T
Honda,Amaze 1.2L I-VTEC S,Manual,2018,01-07-2018,CNG,,76942,1st owner,512000,10012,TRUE,Yes,DL5C,2018 Honda Amaze 1.2L I-VTEC S
Maruti,Vitara Brezza VXI AT SHVS,Automatic,2021,01-08-2021,Petrol,1462,29125,2nd owner,829000,15779,TRUE,No,HR26,2021 Maruti Vitara Brezza VXI AT SHVS
Honda,City 1.5L I-VTEC S MT,Manual,2012,01-12-2012,Petrol,1497,77380,2nd owner,293000,9718,TRUE,Yes,DL13,2012 Honda City 1.5L I-VTEC S MT
Tata,Tiago XTA PETROL,Automatic,2017,01-02-2018,Petrol,1199,102235,1st owner,374000,8316,TRUE,No,UP16,2017 Tata Tiago XTA PETROL
Hyundai,Creta S 1.5 PETROL,Manual,2020,01-06-2020,Petrol,1497,14693,1st owner,1124000,21392,TRUE,No,HR29,2020 Hyundai Creta S 1.5 PETROL
Renault,Duster RXZ 1.3 TURBO PETROL MT,Manual,2021,01-12-2021,Petrol,1330,50108,1st owner,929000,17692,TRUE,No,HR51,2021 Renault Duster RXZ 1.3 TURBO PETROL MT
Hyundai,Creta E PLUS 1.6 PETROL,Manual,2019,01-03-2019,Petrol,1591,17333,1st owner,886000,16864,TRUE,Yes,DL12,2019 Hyundai Creta E PLUS 1.6 PETROL
Hyundai,Creta SX PLUS 1.6 PETROL,Manual,2015,01-01-2016,Petrol,1591,102963,3rd owner,569000,12650,TRUE,No,HR26,2015 Hyundai Creta SX PLUS 1.6 PETROL
Ford,Ecosport TITANIUM 1.5L THUNDER EDTION DIESEL,Manual,2020,01-08-2020,Diesel,1498,71807,2nd owner,679000,13279,TRUE,No,HR29,2020 Ford Ecosport TITANIUM 1.5L THUNDER EDTION DIESEL
Tata,Tiago XZ PLUS PETROL,Manual,2020,01-10-2020,Petrol,1199,53413,1st owner,505000,9881,TRUE,No,HR51,2020 Tata Tiago XZ PLUS PETROL
Maruti,Swift LXI (O),Manual,2015,01-10-2015,Petrol,1197,71287,2nd owner,338000,6613,TRUE,No,DL9C,2015 Maruti Swift LXI (O)
Renault,Duster RXL PETROL,Manual,2013,01-10-2013,Petrol,1598,77978,3rd owner,314000,8281,TRUE,No,HR26,2013 Renault Duster RXL PETROL
Mahindra,XUV500 W5,Manual,2019,01-09-2019,Diesel,2179,56200,1st owner,949000,20629,TRUE,No,DL12,2019 Mahindra XUV500 W5
Maruti,Baleno SIGMA PETROL 1.2,Manual,2021,01-09-2021,Petrol,1197,11344,1st owner,574000,11230,TRUE,Yes,DL3C,2021 Maruti Baleno SIGMA PETROL 1.2
Maruti,Baleno ALPHA CVT PETROL 1.2,Automatic,2020,01-09-2020,Petrol,1197,15673,1st owner,746000,14594,TRUE,No,HR98,2020 Maruti Baleno ALPHA CVT PETROL 1.2
Renault,Kwid CLIMBER 1.0 AMT (O),Automatic,2020,01-07-2020,Petrol,999,45704,2nd owner,403000,7879,TRUE,No,UP16,2020 Renault Kwid CLIMBER 1.0 AMT (O)
Hyundai,Creta SX PLUS 1.6 PETROL,Manual,2016,01-12-2016,CNG,1591,84938,2nd owner,681000,15148,TRUE,Yes,HR26,2016 Hyundai Creta SX PLUS 1.6 PETROL
Hyundai,Verna SX (O) 1.0 TURBO DCT,Automatic,2020,01-11-2020,Petrol,998,42349,2nd owner,1057000,20118,TRUE,Yes,HR51,2020 Hyundai Verna SX (O) 1.0 TURBO DCT
Datsun,Redi Go A,Manual,2018,01-08-2018,Petrol,799,30684,1st owner,231000,4517,TRUE,No,DL8C,2018 Datsun Redi Go A
Maruti,Vitara Brezza VXI AT SHVS,Automatic,2021,01-02-2021,Petrol,1462,57060,1st owner,808000,15380,TRUE,No,DL6C,2021 Maruti Vitara Brezza VXI AT SHVS
Volkswagen,Polo COMFORTLINE 1.0L MPI,Manual,2018,01-07-2018,Petrol,999,96717,2nd owner,488000,9532,TRUE,No,DL3C,2018 Volkswagen Polo COMFORTLINE 1.0L MPI
Hyundai,Grand i10 MAGNA 1.2 KAPPA VTVT,Manual,2017,01-06-2017,Petrol,1197,96739,1st owner,374000,7312,TRUE,Yes,DL4C,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT
Hyundai,Elite i20 MAGNA 1.2,Manual,2015,01-03-2015,Petrol,1197,38116,1st owner,410000,8016,TRUE,No,DL10,2015 Hyundai Elite i20 MAGNA 1.2
Maruti,Baleno SIGMA PETROL 1.2,Manual,2020,01-11-2020,Petrol,1197,25069,1st owner,570000,11148,TRUE,Yes,HR98,2020 Maruti Baleno SIGMA PETROL 1.2
KIA,SONET GTX PLUS 1.0 IMT,Manual,2020,01-12-2020,Petrol,998,37438,2nd owner,874000,16636,TRUE,Yes,HR05,2020 KIA SONET GTX PLUS 1.0 IMT
KIA,SELTOS GTX PLUS DCT 1.4 PETROL,Automatic,2019,01-10-2019,Petrol,1353,49161,1st owner,1316000,25049,TRUE,No,DL4C,2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL
Tata,TIGOR XZ PETROL,Manual,2018,01-05-2018,Petrol,1199,60364,1st owner,430000,8407,TRUE,No,HR26,2018 Tata TIGOR XZ PETROL
Maruti,Wagon R 1.0 LXI CNG,Manual,2017,01-04-2017,CNG,,81370,1st owner,350000,6846,TRUE,No,HR50,2017 Maruti Wagon R 1.0 LXI CNG
Tata,TIGOR XZA PETROL,Automatic,2018,01-08-2018,Petrol,1199,97131,1st owner,443000,8661,TRUE,No,DL3C,2018 Tata TIGOR XZA PETROL
Mahindra,Thar LX PETROL HT 4WD AT,Automatic,2021,01-09-2021,Petrol,1997,30914,1st owner,1340000,25506,TRUE,No,UP16,2021 Mahindra Thar LX PETROL HT 4WD AT
Mahindra,XUV500 W11 AT,Automatic,2019,01-10-2019,Diesel,2179,36660,1st owner,1262000,27439,TRUE,Yes,DL12,2019 Mahindra XUV500 W11 AT
Maruti,Swift LXI (O),Manual,2017,01-02-2017,Petrol,1197,55771,1st owner,403000,7879,TRUE,No,DL12,2017 Maruti Swift LXI (O)
KIA,SELTOS GTX PLUS DCT 1.4 PETROL,Automatic,2019,01-10-2019,Petrol,1353,24009,1st owner,1405000,26742,TRUE,No,DL12,2019 KIA SELTOS GTX PLUS DCT 1.4 PETROL
Ford,Ecosport TITANIUM 1.5L DIESEL,Manual,2020,01-01-2021,Diesel,1498,62541,1st owner,826000,15720,TRUE,No,DL11,2020 Ford Ecosport TITANIUM 1.5L DIESEL
Hyundai,VENUE SX 1.0 TURBO,Manual,2019,01-10-2019,Petrol,998,17536,1st owner,850000,16179,TRUE,No,DL8C,2019 Hyundai VENUE SX 1.0 TURBO
Tata,NEXON XM SUNROOF PETROL,Manual,2022,01-04-2022,Petrol,1199,21897,1st owner,824000,15691,TRUE,Yes,DL9C,2022 Tata NEXON XM SUNROOF PETROL
Hyundai,Grand i10 SPORTZ 1.2 KAPPA VTVT,Manual,2015,01-03-2016,Petrol,1197,96142,1st owner,322000,6292,TRUE,No,UP14,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT
Maruti,IGNIS ALPHA 1.2 AMT,Automatic,2021,01-08-2021,Petrol,1197,38768,1st owner,668000,13052,TRUE,No,DL9C,2021 Maruti IGNIS ALPHA 1.2 AMT
Renault,Kwid RXL,Manual,2021,01-05-2021,Petrol,,32589,1st owner,349000,6823,TRUE,No,HR05,2021 Renault Kwid RXL
KIA,SONET HTX 1.0 IMT,Manual,2022,01-04-2022,Petrol,998,29811,1st owner,1024000,19483,TRUE,No,HR36,2022 KIA SONET HTX 1.0 IMT
Volkswagen,Vento HIGHLINE PLUS 1.2 AT 16 ALLOY,Automatic,2018,01-10-2018,Petrol,1197,106608,1st owner,679000,15109,TRUE,No,DL10,2018 Volkswagen Vento HIGHLINE PLUS 1.2 AT 16 ALLOY
Hyundai,VENUE SX 1.0 TURBO IMT,Manual,2021,01-07-2021,Petrol,998,39415,1st owner,886000,16856,TRUE,No,UP14,2021 Hyundai VENUE SX 1.0 TURBO IMT
Maruti,IGNIS ALPHA 1.2,Manual,2021,01-01-2022,Petrol,1197,30314,1st owner,592000,11574,TRUE,Yes,HR51,2021 Maruti IGNIS ALPHA 1.2
Mahindra,Thar LX  P 4WD AT CONVERTIBLE,Automatic,2022,01-03-2022,Petrol,1997,29045,1st owner,1397000,26591,TRUE,Yes,DL12,2022 Mahindra Thar LX  P 4WD AT CONVERTIBLE
Datsun,Redi Go A,Manual,2021,01-03-2021,Petrol,799,15680,1st owner,304000,5943,TRUE,Yes,DL7C,2021 Datsun Redi Go A
Honda,City 1.5L I-VTEC SV,Manual,2016,01-08-2016,Petrol,1497,97885,2nd owner,551000,10765,TRUE,Yes,DL2C,2016 Honda City 1.5L I-VTEC SV
Nissan,MAGNITE XE,Manual,2022,01-03-2022,Petrol,999,13843,1st owner,553000,10812,TRUE,No,HR26,2022 Nissan MAGNITE XE
Datsun,Go Plus T(O),Manual,2019,01-07-2019,Petrol,1198,30616,1st owner,411000,8043,TRUE,No,DL3C,2019 Datsun Go Plus T(O)
Maruti,Baleno DELTA CVT PETROL 1.2,Automatic,2019,01-11-2019,Petrol,1197,36124,1st owner,590000,11535,TRUE,Yes,UP14,2019 Maruti Baleno DELTA CVT PETROL 1.2
Honda,Amaze 1.2L I-VTEC VX CVT,Automatic,2023,01-02-2023,Petrol,1199,13137,1st owner,917000,17454,TRUE,Yes,HR26,2023 Honda Amaze 1.2L I-VTEC VX CVT
Tata,Harrier XZA PLUS 2.0L,Automatic,2022,01-08-2022,Diesel,1956,27222,1st owner,1765000,33599,TRUE,Yes,UP16,2022 Tata Harrier XZA PLUS 2.0L
Maruti,Ciaz SIGMA 1.5 SHVS MT  PETROL,Manual,2019,01-05-2019,Petrol,1462,66068,1st owner,663000,12959,TRUE,Yes,DL8C,2019 Maruti Ciaz SIGMA 1.5 SHVS MT  PETROL
Maruti,Wagon R 1.0 LXI CNG,Manual,2017,01-11-2017,CNG,998,110029,1st owner,325000,7229,TRUE,No,HR36,2017 Maruti Wagon R 1.0 LXI CNG
Maruti,Swift LXI (O),Manual,2015,01-05-2015,Petrol,1197,65365,1st owner,355000,6947,TRUE,No,DL3C,2015 Maruti Swift LXI (O)
Maruti,Alto VXI,Manual,2021,01-06-2021,Petrol,796,9171,2nd owner,358000,7000,TRUE,No,DL5C,2021 Maruti Alto VXI
Tata,NEXON XZA PLUS PETROL,Automatic,2019,01-03-2019,Petrol,1198,61470,1st owner,713000,13936,TRUE,No,HR26,2019 Tata NEXON XZA PLUS PETROL
Tata,ALTROZ XZA PLUS,Automatic,2022,01-10-2022,Petrol,1199,24933,1st owner,789000,15425,TRUE,Yes,DL5C,2022 Tata ALTROZ XZA PLUS
Maruti,Dzire VXI,Manual,2020,01-01-2021,Petrol,1197,61172,2nd owner,541000,10582,TRUE,No,DL9C,2020 Maruti Dzire VXI
Honda,Amaze 1.2L I-VTEC S,Manual,2015,01-04-2015,Petrol,1198,44993,1st owner,356000,6960,TRUE,Yes,DL2C,2015 Honda Amaze 1.2L I-VTEC S
Maruti,Swift LXI,Manual,2013,01-05-2013,Petrol,1197,61671,1st owner,282000,7424,TRUE,Yes,HR26,2013 Maruti Swift LXI
Tata,NEXON XZA PLUS PETROL,Automatic,2022,01-06-2022,Petrol,1199,13124,1st owner,967000,18406,TRUE,No,UP14,2022 Tata NEXON XZA PLUS PETROL
Maruti,New Wagon-R LXI CNG (O) 1.0,Manual,2020,01-01-2020,CNG,998,18852,1st owner,516000,10088,TRUE,No,HR26,2020 Maruti New Wagon-R LXI CNG (O) 1.0
Maruti,Ciaz ALPHA  AT 1.4  PETROL,Automatic,2017,01-10-2017,CNG,1373,90034,2nd owner,644000,12581,TRUE,Yes,HR26,2017 Maruti Ciaz ALPHA  AT 1.4  PETROL
Maruti,Vitara Brezza VDI AMT,Automatic,2019,01-06-2019,Diesel,1248,59343,2nd owner,634000,14103,TRUE,No,HR29,2019 Maruti Vitara Brezza VDI AMT
Honda,Amaze 1.2L I-VTEC S,Manual,2015,01-07-2015,Petrol,1198,41525,1st owner,349000,6823,TRUE,No,HR26,2015 Honda Amaze 1.2L I-VTEC S
Hyundai,Creta BASE 1.6 PETROL,Manual,2016,01-07-2016,Petrol,1591,45368,1st owner,655000,12805,TRUE,Yes,UP14,2016 Hyundai Creta BASE 1.6 PETROL
Maruti,Ciaz VXI,Manual,2014,01-11-2014,Petrol,1373,58546,1st owner,404000,8987,TRUE,Yes,DL1C,2014 Maruti Ciaz VXI
Hyundai,Grand i10 ASTA 1.2 KAPPA VTVT,Manual,2016,01-03-2016,CNG,1197,57121,3rd owner,396000,8802,TRUE,No,DL8C,2016 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT
Tata,TIGOR XE PETROL,Manual,2021,01-09-2021,Petrol,1199,24927,1st owner,515000,10068,TRUE,Yes,HR30,2021 Tata TIGOR XE PETROL
Mahindra,XUV300 W8 1.2 PETROL,Manual,2019,01-02-2019,Petrol,1197,39926,1st owner,829000,15779,TRUE,Yes,DL8C,2019 Mahindra XUV300 W8 1.2 PETROL
Maruti,Swift LXI (O),Manual,2017,01-09-2017,Petrol,1197,61039,1st owner,419000,8197,TRUE,No,HR87,2017 Maruti Swift LXI (O)
Jeep,Compass SPORT PLUS 1.4 PETROL,Manual,2019,01-07-2019,Petrol,1368,59431,1st owner,1149000,21877,TRUE,Yes,HR26,2019 Jeep Compass SPORT PLUS 1.4 PETROL
Maruti,IGNIS ZETA 1.2 AMT,Automatic,2022,01-01-2022,Petrol,1197,36051,1st owner,663000,12962,TRUE,No,HR98,2022 Maruti IGNIS ZETA 1.2 AMT
Honda,Amaze 1.2L I-VTEC S,Manual,2016,01-05-2016,Petrol,1198,52996,1st owner,410000,8017,TRUE,No,HR51,2016 Honda Amaze 1.2L I-VTEC S
Maruti,Baleno DELTA PETROL 1.2,Manual,2019,01-05-2019,CNG,1197,47849,2nd owner,537000,10498,TRUE,No,HR26,2019 Maruti Baleno DELTA PETROL 1.2
Maruti,Swift VXI,Manual,2015,01-05-2015,Petrol,1197,59365,1st owner,372000,7269,TRUE,Yes,DL2C,2015 Maruti Swift VXI
Tata,NEXON XZA PLUS DIESEL DARK EDITION,Automatic,2022,01-11-2022,Diesel,1497,19703,1st owner,1053000,20043,TRUE,No,HR26,2022 Tata NEXON XZA PLUS DIESEL DARK EDITION
Renault,Kwid RXT 0.8,Manual,2020,01-01-2021,Petrol,799,62083,1st owner,356000,6960,TRUE,No,DL12,2020 Renault Kwid RXT 0.8
Maruti,S PRESSO VXI+,Manual,2020,01-11-2020,Petrol,998,15966,1st owner,392000,7664,TRUE,No,DL9C,2020 Maruti S PRESSO VXI+
Hyundai,Elite i20 MAGNA 1.2,Manual,2016,01-10-2016,Petrol,1197,74240,1st owner,448000,8757,TRUE,Yes,DL8C,2016 Hyundai Elite i20 MAGNA 1.2
Nissan,MAGNITE XV PREMIUM TURBO CVT,Automatic,2022,01-05-2022,Petrol,999,42637,1st owner,795000,15538,TRUE,No,UP16,2022 Nissan MAGNITE XV PREMIUM TURBO CVT
MG,HECTOR SHARP 1.5 DCT PETROL,Automatic,2020,01-06-2020,Petrol,1451,50365,2nd owner,1246000,23716,TRUE,No,HR26,2020 MG HECTOR SHARP 1.5 DCT PETROL
Tata,TIGOR XE PETROL,Manual,2020,01-01-2021,Petrol,1199,73158,1st owner,479000,9365,TRUE,Yes,UP14,2020 Tata TIGOR XE PETROL
Hyundai,i20 SPORTZ 1.2,Manual,2014,01-05-2014,Petrol,1197,78713,1st owner,347000,7719,TRUE,Yes,HR26,2014 Hyundai i20 SPORTZ 1.2
Tata,NEXON XZ PLUS PETROL,Manual,2017,01-12-2017,Petrol,1198,82375,1st owner,590000,11535,TRUE,Yes,DL3C,2017 Tata NEXON XZ PLUS PETROL
Maruti,Swift LXI (O),Manual,2017,01-05-2017,Petrol,1197,23582,1st owner,438000,8563,TRUE,Yes,DL5C,2017 Maruti Swift LXI (O)
Tata,TIGOR XZ PLUS PETROL,Manual,2020,01-01-2021,Petrol,,38544,2nd owner,524000,10239,TRUE,No,HR51,2020 Tata TIGOR XZ PLUS PETROL
Hyundai,NEW SANTRO SPORTZ MT,Manual,2019,01-03-2020,Petrol,1086,49352,1st owner,413000,8078,TRUE,No,UP14,2019 Hyundai NEW SANTRO SPORTZ MT
Ford,Ecosport TITANIUM 1.5L PETROL,Manual,2018,01-02-2018,Petrol,1497,99535,1st owner,581000,11359,TRUE,No,HR29,2018 Ford Ecosport TITANIUM 1.5L PETROL
Renault,Kwid CLIMBER 1.0 (O) DUAL TONE,Manual,2022,01-09-2022,Petrol,,26312,1st owner,446000,8717,TRUE,Yes,UP16,2022 Renault Kwid CLIMBER 1.0 (O) DUAL TONE
